X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
0.1692,0.2827,3.4731,3.44,0.0725,4.9774,4.1715,0.0233,2,0.269,0.2109,0.3782,1
0.142,0.2605,3.8386,3.27,0.1511,5.0749,4.5367,0.0058,-6,0.2555,0.2072,0.3459,1
0.1692,0.269,3.7181,3.16,0.148,4.9388,4.5349,0.0174,0,0.236,0.2188,0.3396,1
0.1269,0.2166,4.5758,3.5,0.136,4.9644,5.0524,0.0233,2,0.2741,0.2556,0.3687,1
0.1662,0.2663,3.7217,3.01,0.1118,4.9367,4.4754,0.0174,2,0.2294,0.2024,0.3653,1
0.1843,0.3087,3.3278,3.21,0.2598,4.8679,4.1651,0.0291,10,0.2449,0.2206,0.3652,1
0.1541,0.2399,4.2192,3.24,0.1148,5.324,4.9608,0,6,0.2778,0.2372,0.3689,1
0.1601,0.34,2.9944,3.22,0.145,4.54,3.5958,0.0174,6,0.1823,0.2923,0.3759,1
0.1662,0.2639,3.7209,3.13,0.1541,5.3088,4.4989,0.0291,6,0.1633,0.2209,0.3232,1
0.1964,0.3335,3.0253,3.04,0.2145,4.918,3.8617,0.0349,15,0.3959,0.2199,0.3907,1
0.2387,0.3612,2.7098,2.22,0.1057,4.6058,3.8122,0.0349,0,0.3386,0.2863,0.3444,1
0.1964,0.3416,2.9012,2.75,0.1269,4.3137,3.559,0.0116,2,0.1676,0.2562,0.3916,1
0.2296,0.385,2.6918,2.55,0.1541,4.2468,3.5562,0.0349,12,0.1599,0.2244,0.3141,0
0.2115,0.3844,2.5937,2.28,0.1903,4.1801,3.663,0.0465,8,0.2254,0.2255,0.3042,1
0.1782,0.2813,3.6621,3.22,0.1782,5.2383,4.5594,0.0233,8,0.3258,0.2111,0.3799,1
0.1934,0.3863,2.5968,2.94,0.0695,4.0226,3.0386,0.0349,2,0.1767,0.2545,0.3643,1
0.3444,0.5447,2.0135,2.07,0.6526,3.8257,2.9348,0.1105,20,0.1058,0.2496,0.3402,0
0.1813,0.3257,3.0707,2.82,0.1541,3.9281,3.4138,0.0291,2,0.2564,0.2736,0.3649,1
0.281,0.4579,2.2961,2.16,0.2236,4.0523,3.2493,0.064,8,0.1771,0.2036,0.3307,1
0.3175,0.5711,1.9276,2.05,0.3798,4.0379,3.0445,0.08,27,0.3546,0.2637,0.3024,1
0.1573,0.3393,2.9732,3.28,0.1751,4.5264,3.8601,0.0286,4,0.14,0.2626,0.364,1
0.4006,0.5964,1.7912,1.82,0.3116,3.765,2.6138,0.1029,18,0.2876,0.2155,0.3724,0
0.3531,0.5206,2.0405,1.81,0.273,3.4698,2.7134,0.0571,16,0.2757,0.2026,0.3738,0
0.1157,0.2786,3.6319,3.37,0.1306,4.2684,4.1959,0.0171,4,0.3627,0.2676,0.3969,1
0.368,0.6681,1.5988,1.81,0.2611,3.4557,2.5021,0.0857,10,0.1435,0.2002,0.342,1
0.2991,0.4603,2.2186,2.28,0.148,3.6988,2.9203,0.0407,0,0.3764,0.2021,0.306,1
0.9302,1.9062,0.5856,0.59,0.7907,3.6364,2.7211,0.2917,-2,0.1966,0.26,0.3904,0
0.0695,0.2524,4.0702,3.93,0.1571,4.6119,4.4902,0.0407,7,0.3376,0.2074,0.3056,1
0.2967,0.4865,2.5617,2.51,0.8131,3.9537,3.0211,0.1086,10,0.3645,0.2841,0.373,1
0.2433,0.3813,2.6539,2.44,0.092,4.068,3.3014,0.04,4,0.3496,0.2534,0.3735,1
0.2285,0.5972,1.7093,2.03,0.2967,2.5555,2.0106,0.1029,6,0.3561,0.2759,0.3042,0
0.2315,0.4139,2.5095,2.41,0.2908,3.742,3.0791,0.0857,-2,0.2449,0.2502,0.3727,0
0.3887,0.6248,1.5814,1.75,0.276,3.3482,2.8066,0.0743,8,0.2796,0.2986,0.3493,1
0.1869,0.2866,3.4789,2.44,0.1424,4.5904,4.2961,0.0286,0,0.2315,0.2181,0.3542,1
0.1246,0.2509,3.9151,3.55,0.178,4.8089,4.6437,0.04,-6,0.3425,0.2389,0.3381,1
0.3112,0.5814,1.7875,2.03,0.1631,3.1399,2.2457,0.0291,6,0.112,0.2128,0.322,1
0.4006,0.6442,1.5476,2.11,0.4332,3.6286,1.9022,0.08,11,0.201,0.2888,0.3647,1
0.0712,0.2588,3.8635,3.78,0.0504,4.3324,4.2167,0.0114,-2,0.1505,0.257,0.369,1
0.1395,0.2822,3.5122,3.3,0.1246,4.4407,4.028,0.0286,-4,0.2354,0.2867,0.3213,1
0.1958,0.3434,2.8865,3.02,0.1068,4.6542,3.6182,0.0229,4,0.3688,0.2673,0.3281,1
0.8635,1.4604,0.8107,0.93,0.6172,3.0061,2.2045,0.1771,26,0.3463,0.2805,0.3022,0
0.4837,0.7983,1.6319,1.65,1.0267,3.6729,3.186,0.2629,39,0.3954,0.2114,0.3595,0
0.139,0.2997,3.4072,3.31,0.1027,4.2869,4.0528,0.0116,9,0.2598,0.2231,0.3904,1
0.3746,0.6696,1.6603,1.88,0.435,3.277,2.304,0.1105,25,0.1876,0.2672,0.3118,1
0.139,0.3449,3.0829,2.93,0.2598,4.0965,3.7728,0.0465,6,0.1693,0.2997,0.3453,1
0.1994,0.4222,2.4475,2.5,0.281,3.5418,3.0384,0.0756,2,0.1759,0.2795,0.3853,1
